"","TIME_PERIOD","MEASURE","MEASURE_label.en.label","INDEX","INDEX_label.en","TSEST","TSEST_label.en.label","REGION","REGION_label.en.label","FREQ","FREQ_label.en.label","obsValue","UNIT_MEASURE","UNIT_MEASURE_label.en","OBS_STATUS","OBS_STATUS_label.en"
"1640","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","104101","All groups, goods component","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.1,"PCT","Percent",NA,NA
"1615","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","104101","All groups, goods component","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",2.8,"PCT","Percent",NA,NA
"1915","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","104101","All groups, goods component","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",2.8,"PCT","Percent",NA,NA
"1916","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","104101","All groups, goods component","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",4.3,"PCT","Percent",NA,NA
"97","2020-Q3","2","Percentage Change from Previous Period","40081","Automotive fuel","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",9.4,"PCT","Percent",NA,NA
"98","2020-Q4","2","Percentage Change from Previous Period","40081","Automotive fuel","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.5,"PCT","Percent",NA,NA
"99","2021-Q1","2","Percentage Change from Previous Period","40081","Automotive fuel","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",8.7,"PCT","Percent",NA,NA
"100","2021-Q2","2","Percentage Change from Previous Period","40081","Automotive fuel","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",6.5,"PCT","Percent",NA,NA
"101","2021-Q3","2","Percentage Change from Previous Period","40081","Automotive fuel","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",7.1,"PCT","Percent",NA,NA
"102","2021-Q4","2","Percentage Change from Previous Period","40081","Automotive fuel","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",6.6,"PCT","Percent",NA,NA
"103","2020-Q3","2","Percentage Change from Previous Period","115488","Communication","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.8,"PCT","Percent",NA,NA
"104","2020-Q4","2","Percentage Change from Previous Period","115488","Communication","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.4,"PCT","Percent",NA,NA
"105","2021-Q1","2","Percentage Change from Previous Period","115488","Communication","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.5,"PCT","Percent",NA,NA
"106","2021-Q2","2","Percentage Change from Previous Period","115488","Communication","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.6,"PCT","Percent",NA,NA
"107","2021-Q3","2","Percentage Change from Previous Period","115488","Communication","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.5,"PCT","Percent",NA,NA
"108","2021-Q4","2","Percentage Change from Previous Period","115488","Communication","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.1,"PCT","Percent",NA,NA
"109","2020-Q3","2","Percentage Change from Previous Period","115484","Small electric household appliances","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",3.6,"PCT","Percent","r","revised"
"110","2020-Q4","2","Percentage Change from Previous Period","115484","Small electric household appliances","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",2.4,"PCT","Percent",NA,NA
"111","2021-Q1","2","Percentage Change from Previous Period","115484","Small electric household appliances","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.5,"PCT","Percent","r","revised"
"112","2021-Q2","2","Percentage Change from Previous Period","115484","Small electric household appliances","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.6,"PCT","Percent","r","revised"
"113","2021-Q3","2","Percentage Change from Previous Period","115484","Small electric household appliances","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-3.8,"PCT","Percent","r","revised"
"114","2021-Q4","2","Percentage Change from Previous Period","115484","Small electric household appliances","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.8,"PCT","Percent",NA,NA
"115","2020-Q3","2","Percentage Change from Previous Period","40001","Milk","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.4,"PCT","Percent",NA,NA
"116","2020-Q4","2","Percentage Change from Previous Period","40001","Milk","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"117","2021-Q1","2","Percentage Change from Previous Period","40001","Milk","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.2,"PCT","Percent",NA,NA
"118","2021-Q2","2","Percentage Change from Previous Period","40001","Milk","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.2,"PCT","Percent",NA,NA
"119","2021-Q3","2","Percentage Change from Previous Period","40001","Milk","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.4,"PCT","Percent",NA,NA
"120","2021-Q4","2","Percentage Change from Previous Period","40001","Milk","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.4,"PCT","Percent",NA,NA
"1818","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","40080","Motor vehicles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.8,"PCT","Percent","r","revised"
